D:\MassHunter\GCMS\1\data\Amal\Constant flow\150C\150C_1ml-min_4C-min_3.D Thu Sep 12 18:06:08 2024
Start of data points
4,99090	407196
4,99503	397869
4,99915	374591
5,00327	355710
5,00740	349507
5,01152	338690
5,01563	328747
5,01977	314127
5,02388	300012
5,02800	288317
5,03213	283592
5,03625	276778
5,04037	268621
5,04448	255889
5,04862	250318
5,05273	246830
5,05685	239869
5,06098	232422
5,06510	224271
5,06922	219294
5,07335	218886
5,07747	210941
5,08158	200969
5,08572	199443
5,08983	198925
5,09395	191641
5,09808	181719
5,10220	183771
5,10632	173540
5,11045	169590
5,11457	168190
5,11868	167182
5,12282	163400
5,12693	157987
5,13105	154870
5,13518	155551
5,13930	150771
5,14342	150168
5,14753	147734
5,15167	144180
5,15578	142732
5,15990	138841
5,16403	138925
5,16815	139775
5,17227	135836
5,17640	132559
5,18052	132995
5,18463	132148
5,18877	123715
5,19288	128499
5,19700	125493
5,20113	127729
5,20525	122530
5,20937	118564
5,21350	123052
5,21762	121279
5,22173	121620
5,22587	118595
5,22998	119547
5,23410	121341
5,23822	116770
5,24235	116539
5,24647	117471
5,25058	115811
5,25472	120092
5,25883	112736
5,26295	112846
5,26708	113124
5,27120	113471
5,27532	110306
5,27945	110848
5,28357	106239
5,28768	106238
5,29182	111401
5,29593	108492
5,30005	104237
5,30418	103547
5,30830	103680
5,31242	106819
5,31655	115108
5,32067	135187
5,32478	181320
5,32890	258661
5,33303	383488
5,33715	538813
5,34127	721505
5,34540	890804
5,34952	1035788
5,35363	1140699
5,35777	1202843
5,36188	1223992
5,36600	1229020
5,37013	1212797
5,37425	1193225
5,37837	1167465
5,38250	1126924
5,38662	1088488
5,39073	1058186
5,39487	1018873
5,39898	994554
5,40310	965112
5,40723	941896
5,41135	906491
5,41547	884601
5,41958	857996
5,42372	827770
5,42783	799195
5,43195	777114
5,43608	747642
5,44020	732089
5,44432	700559
5,44845	680584
5,45257	655063
5,45668	632239
5,46082	609593
5,46493	583216
5,46905	558943
5,47318	531532
5,47730	503909
5,48142	473159
5,48555	447704
5,48967	428253
5,49378	398846
5,49792	372299
5,50203	345940
5,50615	329469
5,51027	308939
5,51440	294452
5,51852	273567
5,52263	254504
5,52677	244859
5,53088	230706
5,53500	218919
5,53913	203080
5,54325	194369
5,54737	181635
5,55150	175615
5,55562	164690
5,55973	156335
5,56387	152066
5,56798	147219
5,57210	141477
5,57623	133423
5,58035	127648
5,58447	126872
5,58860	120251
5,59272	114732
5,59683	112257
5,60095	110949
5,60508	109695
5,60920	103496
5,61332	104864
5,61745	102244
5,62157	100271
5,62568	95303
5,62982	94341
5,63393	94481
5,63805	92814
5,64218	91739
5,64630	87121
5,65042	89099
5,65455	87069
5,65867	89506
5,66278	85555
5,66692	85284
5,67103	82257
5,67515	81896
5,67928	79837
5,68340	80035
5,68752	82896
5,69163	77486
5,69577	77536
5,69988	77833
5,70400	77548
5,70813	77814
5,71225	78075
5,71637	77760
5,72050	78307
5,72462	77638
5,72873	75109
5,73287	78583
5,73698	75595
5,74110	80336
5,74523	81391
5,74935	89181
5,75347	100991
5,75760	128204
5,76172	165522
5,76583	223189
5,76997	299277
5,77408	386380
5,77820	468566
5,78232	547400
5,78645	606799
5,79057	653130
5,79468	678090
5,79882	680055
5,80293	678593
5,80705	666616
5,81118	651815
5,81530	645956
5,81942	627022
5,82355	604324
5,82767	593473
5,83178	574131
5,83592	553725
5,84003	537715
5,84415	520741
5,84828	505520
5,85240	491078
5,85652	478074
5,86065	455945
5,86477	450300
5,86888	430771
5,87300	419033
5,87713	403344
5,88125	391660
5,88537	372933
5,88950	359357
5,89362	336920
5,89773	322602
5,90187	307631
5,90598	295502
5,91010	273208
5,91423	262856
5,91835	241818
5,92247	231798
5,92660	217203
5,93072	205626
5,93483	188120
5,93897	179757
5,94308	170309
5,94720	162559
5,95133	154452
